second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
60.0,8,4,5,0.8333333,0.8333333,0.88240576,0.88240576,0.0149993896484375,392,0.7871486,0.7871486,0,0,0,5
60.0,3,0,1,0.16666667,0.16666667,0.11759426,0.11759426,0.0019989013671875,106,0.2128514,0.2128514,0,0,0,1
61.0,3,0,1,0.2,0.2,0.08342603,0.08342603,0.002002716064453125,106,0.2591687,0.2591687,0,0,0,2
61.0,9,4,4,0.8,0.8,0.91657394,0.91657394,0.022003173828125,303,0.7408313,0.7408313,0,0,0,4
62.0,13,4,1,0.5,1.0,0.40045768,1.0,0.002002716064453125,89,0.5,1.0,0,0,0,1
62.0,11,4,1,0.5,1.0,0.5995423,1.0,0.00299835205078125,89,0.5,1.0,0,0,0,1
65.0,16,4,5,0.71428573,0.85714287,0.7917991,0.87507945,0.01900482177734375,392,0.6678024,0.81942075,0,0,0,5
65.0,27,4,1,0.14285715,0.85714287,0.083280355,0.87507945,0.0019989013671875,89,0.15161839,0.81942075,0,0,0,1
65.0,3,0,1,0.14285715,0.14285715,0.12492053,0.12492053,0.00299835205078125,106,0.18057922,0.18057922,0,0,0,3
67.0,18,4,5,0.5,1.0,0.46668363,1.0,0.01399993896484375,445,0.5,1.0,0,0,0,5
67.0,14,4,5,0.5,1.0,0.5333164,1.0,0.01599884033203125,445,0.5,1.0,0,0,0,5
68.0,18,4,4,0.8,0.8,0.89969486,0.89969486,0.01799774169921875,303,0.7408313,0.7408313,0,0,0,9
68.0,3,0,1,0.2,0.2,0.10030511,0.10030511,0.00200653076171875,106,0.2591687,0.2591687,0,0,0,4
69.0,25,4,1,1.0,1.0,1.0,1.0,0.0019989013671875,89,1.0,1.0,0,0,0,1
70.0,24,4,1,1.0,1.0,1.0,1.0,0.0019989013671875,89,1.0,1.0,0,0,0,1
71.0,15,4,1,1.0,1.0,1.0,1.0,0.0019989013671875,89,1.0,1.0,0,0,0,1
72.0,19,4,1,1.0,1.0,1.0,1.0,0.00200653076171875,89,1.0,1.0,0,0,0,1
73.0,47,54,29,1.0,1.0,1.0,1.0,1.0410003662109375,2871,1.0,1.0,29,0,0,0
74.0,38,54,29,0.5,1.0,0.40348068,1.0,0.8109970092773438,2871,0.5,1.0,29,0,0,0
74.0,39,54,29,0.5,1.0,0.59651935,1.0,1.199005126953125,2871,0.5,1.0,29,0,0,0
76.0,43,54,29,0.6744186,0.6744186,0.8429314,0.8429314,0.177001953125,2871,0.7244512,0.7244512,29,0,0,0
