second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
60.0,38,49,29,0.46774194,0.91935486,0.7117566,0.9848328,0.5629997253417969,2871,0.47158346,0.9269054,29,0,0,0
60.0,44,49,28,0.4516129,0.91935486,0.27307627,0.9848328,0.21600341796875,2772,0.45532194,0.9269054,28,0,0,0
60.0,20,5,5,0.08064516,0.08064516,0.0151671525,0.0151671525,0.011997222900390625,445,0.073094614,0.073094614,0,0,0,5
61.0,32,49,29,0.2248062,0.9147287,0.21624221,0.95750874,0.22900009155273438,2871,0.22675934,0.9226759,29,0,0,0
61.0,33,49,29,0.2248062,0.9147287,0.16713735,0.95750874,0.17699813842773438,2871,0.22675934,0.9226759,29,0,0,0
61.0,35,49,29,0.2248062,0.9147287,0.07082598,0.95750874,0.07500457763671875,2871,0.22675934,0.9226759,29,0,0,0
61.0,20,5,10,0.07751938,0.08527132,0.040603723,0.042491265,0.042999267578125,890,0.0702946,0.07732406,0,0,0,15
61.0,36,49,1,0.007751938,0.9147287,0.2483448,0.95750874,0.2629966735839844,99,0.0078192875,0.9226759,1,0,0,0
61.0,44,49,1,0.007751938,0.9147287,0.010388675,0.95750874,0.0110015869140625,99,0.0078192875,0.9226759,1,0,0,0
61.0,22,5,1,0.007751938,0.08527132,0.0018875401,0.042491265,0.0019989013671875,89,0.0070294607,0.07732406,0,0,0,1
61.0,28,49,29,0.2248062,0.9147287,0.24456972,0.95750874,0.2589988708496094,2871,0.22675934,0.9226759,29,0,0,0
62.0,20,5,4,0.06451613,0.06451613,0.014418919,0.014418919,0.0110015869140625,303,0.050066095,0.050066095,0,0,0,19
62.0,1,0,1,0.016129032,0.016129032,0.0039297054,0.0039297054,0.00299835205078125,106,0.017514871,0.017514871,0,0,0,1
62.0,45,49,29,0.46774194,0.91935486,0.23722221,0.98165137,0.180999755859375,2871,0.47438863,0.93241906,29,0,0,0
62.0,36,49,28,0.4516129,0.91935486,0.7444292,0.98165137,0.5679969787597656,2772,0.4580304,0.93241906,28,0,0,0
63.0,26,5,4,0.5714286,0.85714287,0.37838954,0.9459738,0.01399993896484375,303,0.516184,0.81942075,0,0,0,4
63.0,2,0,1,0.14285715,0.14285715,0.054026186,0.054026186,0.0019989013671875,106,0.18057922,0.18057922,0,0,0,1
63.0,8,5,1,0.14285715,0.85714287,0.027013093,0.9459738,0.00099945068359375,89,0.15161839,0.81942075,0,0,0,1
63.0,6,5,1,0.14285715,0.85714287,0.5405712,0.9459738,0.020000457763671875,89,0.15161839,0.81942075,0,0,0,1
64.0,41,49,20,1.0,1.0,1.0,1.0,0.824005126953125,1980,1.0,1.0,20,0,0,0
65.0,29,49,29,0.5576923,0.7307692,0.67520684,0.91560644,0.26399993896484375,2871,0.5901336,0.77327853,29,0,0,0
65.0,41,49,9,0.17307693,0.7307692,0.24039963,0.91560644,0.093994140625,891,0.18314491,0.77327853,9,0,0,0
65.0,40,35,4,0.07692308,0.07692308,0.02302529,0.02302529,0.009002685546875,312,0.06413155,0.06413155,0,0,4,0
65.0,35,47,4,0.07692308,0.07692308,0.03325008,0.03325008,0.01300048828125,312,0.06413155,0.06413155,0,0,4,0
65.0,47,27,1,0.01923077,0.01923077,0.0025561973,0.0025561973,0.00099945068359375,78,0.016032888,0.016032888,0,0,1,0
65.0,10,5,1,0.01923077,0.01923077,0.0025561973,0.0025561973,0.00099945068359375,89,0.018293936,0.018293936,0,0,0,1
65.0,39,29,4,0.07692308,0.07692308,0.023005776,0.023005776,0.00899505615234375,312,0.06413155,0.06413155,0,0,4,0
66.0,30,49,29,1.0,1.0,1.0,1.0,1.1800003051757812,2871,1.0,1.0,29,0,0,0
67.0,42,29,4,0.22222222,0.7777778,0.23694779,0.81586343,0.009002685546875,312,0.22222222,0.7777778,0,0,4,0
67.0,29,27,4,0.22222222,0.22222222,0.18413654,0.18413654,0.00699615478515625,312,0.22222222,0.22222222,0,0,4,0
67.0,34,29,4,0.22222222,0.7777778,0.23674698,0.81586343,0.00899505615234375,312,0.22222222,0.7777778,0,0,4,0
67.0,39,29,3,0.16666667,0.7777778,0.18433735,0.81586343,0.0070037841796875,234,0.16666667,0.7777778,0,0,3,0
67.0,46,29,3,0.16666667,0.7777778,0.15783133,0.81586343,0.0059967041015625,234,0.16666667,0.7777778,0,0,3,0
68.0,45,29,4,0.6666667,0.6666667,0.6668786,0.6668786,0.00800323486328125,312,0.651357,0.651357,0,0,4,0
68.0,9,5,1,0.16666667,0.16666667,0.24984106,0.24984106,0.00299835205078125,89,0.18580376,0.18580376,0,0,0,1
68.0,29,27,1,0.16666667,0.16666667,0.083280355,0.083280355,0.00099945068359375,78,0.16283925,0.16283925,0,0,1,0
70.0,47,49,29,0.82857144,0.82857144,0.31193456,0.31193456,0.27700042724609375,2871,0.8521817,0.8521817,29,0,0,0
70.0,26,5,5,0.14285715,0.14285715,0.68693995,0.68693995,0.6100082397460938,392,0.116355,0.116355,0,0,0,9
70.0,2,0,1,0.028571429,0.028571429,0.0011254973,0.0011254973,0.00099945068359375,106,0.031463344,0.031463344,0,0,0,2
71.0,34,49,29,0.7631579,0.7631579,0.9062677,0.9062677,0.23199462890625,2871,0.80352646,0.80352646,29,0,0,0
71.0,43,47,4,0.10526316,0.18421052,0.046881054,0.08201949,0.01200103759765625,312,0.08732158,0.15281276,0,0,4,0
71.0,47,27,2,0.05263158,0.05263158,0.011712813,0.011712813,0.00299835205078125,156,0.04366079,0.04366079,0,0,2,0
71.0,35,47,3,0.078947365,0.18421052,0.03513844,0.08201949,0.00899505615234375,234,0.065491185,0.15281276,0,0,3,0
72.0,37,49,29,0.96666664,0.96666664,0.9978082,0.9978082,0.45499420166015625,2871,0.96993244,0.96993244,29,0,0,0
72.0,14,5,1,0.033333335,0.033333335,0.0021918083,0.0021918083,0.00099945068359375,89,0.030067567,0.030067567,0,0,0,1
73.0,31,49,29,0.85294116,0.85294116,0.9637865,0.9637865,0.292999267578125,2871,0.8753049,0.8753049,29,0,0,0
73.0,12,5,4,0.11764706,0.11764706,0.029613271,0.029613271,0.009002685546875,303,0.09237805,0.09237805,0,0,0,4
73.0,1,0,1,0.029411765,0.029411765,0.006600246,0.006600246,0.00200653076171875,106,0.032317072,0.032317072,0,0,0,2
74.0,20,5,5,0.8333333,0.8333333,0.90915394,0.90915394,0.01000213623046875,392,0.7871486,0.7871486,0,0,0,24
74.0,1,0,1,0.16666667,0.16666667,0.09084605,0.09084605,0.00099945068359375,106,0.2128514,0.2128514,0,0,0,3
75.0,48,31,3,0.069767445,0.069767445,0.04167991,0.04167991,0.009002685546875,234,0.056074765,0.056074765,0,0,3,0
75.0,31,27,1,0.023255814,0.023255814,0.009254353,0.009254353,0.0019989013671875,78,0.018691588,0.018691588,0,0,1,0
75.0,46,49,11,0.25581396,0.90697676,0.2962806,0.94906574,0.063995361328125,1089,0.26096335,0.92523366,11,0,0,0
75.0,39,49,28,0.6511628,0.90697676,0.6527851,0.94906574,0.14099884033203125,2772,0.6642703,0.92523366,28,0,0,0
76.0,39,49,2,0.1,1.0,0.5223433,1.0,0.7129974365234375,198,0.1,1.0,2,0,0,0
76.0,46,49,18,0.9,1.0,0.47765675,1.0,0.6520004272460938,1782,0.9,1.0,18,0,0,0
77.0,9,5,1,0.33333334,1.0,0.33333334,1.0,0.0019989013671875,89,0.33333334,1.0,0,0,0,2
77.0,6,5,1,0.33333334,1.0,0.33333334,1.0,0.0019989013671875,89,0.33333334,1.0,0,0,0,2
77.0,16,5,1,0.33333334,1.0,0.33333334,1.0,0.0019989013671875,89,0.33333334,1.0,0,0,0,1
78.0,15,5,1,0.2,1.0,0.09992372,1.0,0.00099945068359375,89,0.2,1.0,0,0,0,1
78.0,17,5,4,0.8,1.0,0.90007627,1.0,0.009002685546875,356,0.8,1.0,0,0,0,4
79.0,17,5,2,0.6666667,0.6666667,0.4990476,0.4990476,0.0019989013671875,125,0.54112554,0.54112554,0,0,0,6
79.0,1,0,1,0.33333334,0.33333334,0.50095236,0.50095236,0.00200653076171875,106,0.45887446,0.45887446,0,0,0,4
80.0,40,49,29,1.0,1.0,1.0,1.0,1.3830032348632812,2871,1.0,1.0,29,0,0,0
81.0,11,5,1,1.0,1.0,1.0,1.0,0.00099945068359375,89,1.0,1.0,0,0,0,1
83.0,42,49,29,1.0,1.0,1.0,1.0,0.25299835205078125,2871,1.0,1.0,29,0,0,0
