second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
60.0,54,67,29,0.7837838,1.0,0.5324789,1.0,0.582000732421875,2871,0.7837838,1.0,29,0,0,0
60.0,52,67,8,0.21621622,1.0,0.46752104,1.0,0.5110015869140625,792,0.21621622,1.0,8,0,0,0
61.0,17,7,1,0.2,1.0,0.020822572,1.0,0.0019989013671875,89,0.2,1.0,0,0,0,1
61.0,22,7,4,0.8,1.0,0.9791774,1.0,0.09399795532226562,356,0.8,1.0,0,0,0,4
62.0,1,0,1,0.5,0.5,0.34578773,0.34578773,0.036998748779296875,106,0.74647886,0.74647886,0,0,0,1
62.0,22,7,1,0.5,0.5,0.6542123,0.6542123,0.06999969482421875,36,0.2535211,0.2535211,0,0,0,5
64.0,57,67,13,0.8666667,0.8666667,0.99887323,0.99887323,0.8860015869140625,1287,0.8784983,0.8784983,13,0,0,0
64.0,34,7,2,0.13333334,0.13333334,0.001126775,0.001126775,0.00099945068359375,178,0.12150171,0.12150171,0,0,0,2
65.0,34,7,4,0.2,0.2,0.88295287,0.88295287,1.4709930419921875,356,0.18350515,0.18350515,0,0,0,6
65.0,57,67,16,0.8,0.8,0.117047146,0.117047146,0.19499969482421875,1584,0.8164948,0.8164948,16,0,0,0
67.0,23,7,4,0.8,0.8,0.82980275,0.82980275,0.2340087890625,303,0.7408313,0.7408313,0,0,0,4
67.0,1,0,1,0.2,0.2,0.17019722,0.17019722,0.04799652099609375,106,0.2591687,0.2591687,0,0,0,2
68.0,19,7,4,0.8,1.0,0.6566841,1.0,0.0879974365234375,356,0.8,1.0,0,0,0,4
68.0,15,7,1,0.2,1.0,0.34331587,1.0,0.0460052490234375,89,0.2,1.0,0,0,0,1
69.0,53,67,11,0.84615386,0.84615386,0.99891007,0.99891007,0.9159927368164062,1089,0.88464665,0.88464665,11,0,0,0
69.0,19,7,1,0.07692308,0.07692308,0.0,0.0,0.0,36,0.029244516,0.029244516,0,0,0,5
69.0,6,0,1,0.07692308,0.07692308,0.0010899227,0.0010899227,0.00099945068359375,106,0.086108856,0.086108856,0,0,0,1
70.0,36,7,1,0.05263158,0.05263158,0.04166575,0.04166575,0.02899932861328125,89,0.047568146,0.047568146,0,0,0,1
70.0,53,67,18,0.94736844,0.94736844,0.95833427,0.95833427,0.6669998168945312,1782,0.95243186,0.95243186,18,0,0,0
71.0,20,7,1,0.2,0.2,0.35338992,0.35338992,0.04700469970703125,89,0.22194514,0.22194514,0,0,0,1
