second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg
60.0,27,44,12,0.33510637,0.6755319,0.35341543,0.6907601,0.0670013427734375,1188,0.3129771,0.7117412,12,0,0,0
60.0,22,44,32,0.17021276,0.6755319,0.23393402,0.6907601,0.23299789428710938,3168,0.1919302,0.7117412,32,0,0,0
60.0,27,40,51,0.33510637,0.29787233,0.35341543,0.30823264,0.2849998474121094,3978,0.3129771,0.26463103,0,0,51,0
60.0,29,44,11,0.05851064,0.6755319,0.046182424,0.6907601,0.04599761962890625,1089,0.06597601,0.7117412,11,0,0,0
60.0,42,22,5,0.11170213,0.026595745,0.09438327,0.0010072961,0.001003265380859375,390,0.119592875,0.023627771,0,0,5,0
60.0,28,44,25,0.13297872,0.6755319,0.08132672,0.6907601,0.08100128173828125,1650,0.09996365,0.7117412,0,25,0,25
60.0,42,44,16,0.11170213,0.6755319,0.09438327,0.6907601,0.0930023193359375,1584,0.119592875,0.7117412,16,0,0,0
60.0,40,44,13,0.069148935,0.6755319,0.053210516,0.6907601,0.052997589111328125,1287,0.077971645,0.7117412,13,0,0,0
60.0,24,44,18,0.095744684,0.6755319,0.11545989,0.6907601,0.11499786376953125,1782,0.10796074,0.7117412,18,0,0,0
60.0,37,40,5,0.026595745,0.29787233,0.022087745,0.30823264,0.021999359130859375,390,0.023627771,0.26463103,0,0,5,0
61.0,24,44,11,0.08661418,1.0,0.17652945,1.0,0.1790008544921875,1089,0.089673914,1.0,11,0,0,0
61.0,35,44,26,0.20472442,1.0,0.28106496,1.0,0.2849998474121094,2574,0.21195652,1.0,26,0,0,0
61.0,29,44,18,0.14173229,1.0,0.14200908,1.0,0.1439971923828125,1782,0.14673913,1.0,18,0,0,0
61.0,40,44,16,0.12598425,1.0,0.1548376,1.0,0.15700531005859375,1584,0.13043478,1.0,16,0,0,0
61.0,42,44,13,0.10236221,1.0,0.012817233,1.0,0.012996673583984375,1287,0.10597826,1.0,13,0,0,0
61.0,37,44,23,0.18110237,1.0,0.17850076,1.0,0.180999755859375,2277,0.1875,1.0,23,0,0,0
61.0,32,44,7,0.05511811,1.0,0.05029833,1.0,0.05100250244140625,693,0.05706522,1.0,7,0,0,0
61.0,28,44,13,0.10236221,1.0,0.0039426065,1.0,0.003997802734375,858,0.07065217,1.0,0,13,0,38
62.0,37,44,6,0.10280374,0.8598131,0.1590656,0.84194314,0.11499786376953125,594,0.098914355,0.8823884,6,0,0,0
62.0,25,40,10,0.093457945,0.14018692,0.11550383,0.15805686,0.11400222778320312,780,0.07840772,0.11761158,0,0,10,0
62.0,26,44,24,0.22429906,0.8598131,0.23606688,0.84194314,0.23299789428710938,2376,0.23884198,0.8823884,24,0,0,0
62.0,36,44,18,0.1682243,0.8598131,0.04356951,0.84194314,0.043003082275390625,1782,0.17913148,0.8823884,18,0,0,0
62.0,35,44,3,0.028037382,0.8598131,0.07193433,0.84194314,0.0709991455078125,297,0.029855248,0.8823884,3,0,0,0
62.0,37,40,5,0.10280374,0.14018692,0.1590656,0.15805686,0.04199981689453125,390,0.098914355,0.11761158,0,0,5,0
62.0,28,44,10,0.093457945,0.8598131,0.05167043,0.84194314,0.050998687744140625,660,0.06634499,0.8823884,0,10,0,48
62.0,32,44,11,0.10280374,0.8598131,0.07598865,0.84194314,0.07500076293945312,1089,0.10946924,0.8823884,11,0,0,0
62.0,41,44,20,0.18691589,0.8598131,0.24620076,0.84194314,0.24300003051757812,1980,0.19903499,0.8823884,20,0,0,0
63.0,41,44,9,0.11235955,0.8426966,0.1669958,0.7121819,0.12800216674804688,891,0.14110966,0.8409786,9,0,0,0
63.0,28,44,50,0.56179774,0.8426966,0.5373281,0.7121819,0.5470008850097656,3300,0.4805592,0.8409786,0,50,0,98
63.0,38,23,5,0.056179777,0.101123594,0.06090391,0.11885874,0.062000274658203125,390,0.05679336,0.102228045,0,0,5,0
