second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,target
332.0,25,42,10,0.11627907,0.11627907,0.009575753,0.009575753,0.00701904296875,780,0.12974052,0.12974052,0,0,10,0,version_num
560.0,6,5,1,0.14285715,0.85714287,0.07359307,0.85714287,0.00103759765625,89,0.15161839,0.81942075,0,0,0,20,legitimate
398.0,32,7,1,0.33333334,1.0,0.3070639,1.0,0.03900146484375,89,0.33333334,1.0,0,0,0,6,sinkhole
325.0,28,44,59,0.5566038,0.5566038,0.22954209,0.22954209,0.227020263671875,3894,0.5150794,0.5150794,0,59,0,13424,version_num
3283.0,63,58,4,0.2,0.2,0.07695578,0.07695578,0.044189453125,272,0.19695872,0.19695872,0,0,0,4,sinkhole
233.0,55,42,3,0.27272728,0.27272728,0.4517279,0.4517279,0.1450042724609375,234,0.27272728,0.27272728,0,0,3,0,sinkhole
260.0,13,5,4,0.114285715,0.14285715,0.028273424,0.03396259,0.010009765625,303,0.089937665,0.116355,0,0,0,30,legitimate
607.0,9,5,1,0.5,0.5,0.40243903,0.40243903,0.00201416015625,89,0.566879,0.566879,0,0,0,21,legitimate
63.0,28,44,50,0.56179774,0.8426966,0.5373281,0.7121819,0.5470008850097656,3300,0.4805592,0.8409786,0,50,0,98,version_num
664.0,10,4,5,0.35714287,0.35714287,0.3134516,0.3134516,0.136962890625,392,0.3761996,0.3761996,0,0,0,59,dis_flood
502.0,31,48,4,0.44444445,0.44444445,0.40770102,0.40770102,0.010986328125,272,0.42969984,0.42969984,0,0,0,26,legitimate
3406.0,4,0,1,0.5,0.5,1.0,1.0,0.033935546875,106,0.74647886,0.74647886,0,0,0,15,sinkhole
255.0,9,4,4,0.036036037,0.08108108,0.0009436975,0.084671445,0.0009918212890625,356,0.035244036,0.07929908,0,0,0,21,version_num
676.0,15,5,1,0.11111111,0.44444445,0.10091743,0.35168195,0.00201416015625,89,0.12242091,0.2709766,0,0,0,23,legitimate
536.0,1,0,1,0.25,0.25,0.30848014,0.30848014,0.04595947265625,106,0.2841823,0.2841823,0,0,0,32,sinkhole
771.0,13,5,3,0.21428572,0.35714287,0.26344085,0.38172042,0.00897216796875,267,0.256238,0.3761996,0,0,0,120,legitimate
264.0,11,7,3,0.75,0.75,0.73206174,0.73206174,0.12298583984375,214,0.66875,0.66875,0,0,0,17,sinkhole
3293.0,37,51,18,0.6666667,0.2857143,0.49140626,0.14726563,0.092041015625,1224,0.6666667,0.2857143,0,0,0,18,sinkhole
333.0,44,54,29,1.0,1.0,1.0,1.0,2.00799560546875,2871,1.0,1.0,29,0,0,0,dis_flood
475.0,62,67,27,0.54,1.0,0.9060458,1.0,1.243988037109375,2673,0.54,1.0,27,0,0,0,sinkhole
623.0,3,0,1,0.16666667,0.16666667,0.0072332732,0.0072332732,0.0009765625,106,0.2128514,0.2128514,0,0,0,86,dis_flood
3313.0,37,45,11,0.28947368,0.28947368,0.07681186,0.07681186,0.103759765625,748,0.28947368,0.28947368,0,0,0,11,sinkhole
3355.0,33,7,1,0.2,1.0,0.19370079,1.0,0.030029296875,89,0.2,1.0,0,0,0,11,sinkhole
398.0,23,5,5,0.17857143,0.17857143,0.025366984,0.025366984,0.01202392578125,392,0.1464873,0.1464873,0,0,0,60,legitimate
817.0,17,5,4,1.0,1.0,1.0,1.0,0.01202392578125,356,1.0,1.0,0,0,0,130,legitimate
281.0,14,5,1,0.5,1.0,0.6632653,1.0,0.001983642578125,89,0.5,1.0,0,0,0,8,legitimate
624.0,16,5,1,1.0,1.0,1.0,1.0,0.00201416015625,89,1.0,1.0,0,0,0,26,legitimate
405.0,20,5,4,0.26666668,0.8,0.25761533,0.8294169,0.009033203125,303,0.24694377,0.7408313,0,0,0,78,legitimate
248.0,3,0,1,0.008196721,0.008196721,0.0,0.0,0.0,36,0.0031007752,0.0031007752,0,0,0,13,version_num
60.0,52,67,8,0.21621622,1.0,0.46752104,1.0,0.5110015869140625,792,0.21621622,1.0,8,0,0,0,sinkhole
298.0,27,37,15,0.79268295,0.18292683,0.8098854,0.17076075,0.035003662109375,1020,0.79268295,0.18292683,0,0,0,15,legitimate
525.0,29,51,4,0.8,0.8,0.57622504,0.57622504,0.155029296875,272,0.8,0.8,0,0,0,27,dis_flood
265.0,23,22,5,0.048076924,0.09615385,0.001053438,0.0031603142,0.001007080078125,390,0.045128442,0.090256885,0,0,5,0,version_num
332.0,33,40,18,0.20930232,0.20930232,0.0040801032,0.0040801032,0.00299072265625,1404,0.23353294,0.23353294,0,0,18,0,version_num
477.0,42,53,3,1.0,1.0,1.0,1.0,0.897003173828125,204,1.0,1.0,0,0,0,43,dis_flood
150.0,45,54,29,0.725,0.725,0.9704228,0.9704228,1.1820068359375,2871,0.76376694,0.76376694,29,0,0,0,dis_flood
618.0,3,0,1,0.16666667,0.16666667,0.031181559,0.031181559,0.1390380859375,106,0.2128514,0.2128514,0,0,0,85,dis_flood
136.0,23,4,2,0.06451613,0.06451613,0.37990054,0.37990054,0.3590087890625,178,0.058379795,0.058379795,0,0,0,7,dis_flood
