"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"2","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"3","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"4","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"6","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"7","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"8","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"9","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"10","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"11","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"12","0.001000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"13","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"14","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"15","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"16","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"17","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"18","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"19","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"20","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"21","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"22","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"23","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"24","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"25","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"26","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"27","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"28","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"29","0.002000","fe80::212:7402:2:202","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"30","0.002000","fe80::212:7404:4:404","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"31","0.002000","fe80::212:7404:4:404","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"32","0.002000","fe80::212:7404:4:404","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"33","0.002000","fe80::212:7404:4:404","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"34","0.086000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"35","0.086000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"36","0.087000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"37","0.087000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"38","0.087000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"39","0.088000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"40","0.088000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"41","0.088000","fe80::212:7417:17:1717","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"42","0.352000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"43","0.404000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"44","0.405000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"45","0.541000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"46","0.542000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"47","0.643000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"48","0.643000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"49","0.644000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"50","0.646000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"51","0.646000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"52","0.646000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"53","0.646000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"54","0.647000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"55","1.796000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"56","1.797000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"57","1.797000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"58","1.801000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"59","1.802000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"60","1.803000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"61","1.804000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"62","1.809000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"63","1.810000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"64","1.810000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"65","1.937000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"66","1.937000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"67","1.940000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"68","1.940000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"69","1.940000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"70","1.941000","fe80::212:7411:11:1111","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
