"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"2","0.057000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"3","0.095000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"4","0.096000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"5","0.096000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"6","0.099000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"7","0.100000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"8","0.100000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"9","0.101000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"10","0.101000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"11","0.172000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"12","0.172000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"13","0.173000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"14","0.173000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"15","0.179000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"16","0.180000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"17","0.181000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"18","0.232000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"19","0.233000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"20","0.233000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"21","0.234000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"22","0.235000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"23","0.236000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"24","0.238000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"25","0.239000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"26","0.239000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"27","0.240000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"28","0.240000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"29","0.243000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"30","0.244000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"31","0.245000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"32","0.249000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"33","0.250000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"34","0.250000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"35","0.251000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"36","0.253000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"37","0.320000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"38","0.321000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"39","0.321000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"40","0.322000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"41","0.322000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"42","0.323000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"43","0.339000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"44","0.341000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"45","0.341000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"46","0.342000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"47","0.344000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"48","0.344000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"49","0.344000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"50","0.389000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"51","0.390000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"52","0.392000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"53","0.392000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"54","0.393000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"55","0.393000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"56","0.393000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"57","0.396000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"58","0.396000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"59","0.396000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"60","0.397000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"61","0.397000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"62","0.397000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"63","0.400000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"64","0.400000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"65","0.401000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"66","0.401000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"67","0.402000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"68","0.402000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"69","0.405000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"70","0.405000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"71","0.405000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"72","0.406000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"73","0.469000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"74","0.470000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"75","0.470000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"76","0.471000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"77","0.522000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"78","0.523000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"79","0.525000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"80","1.576000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"81","1.577000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"82","1.578000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"83","1.578000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"84","1.579000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"85","1.579000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"86","1.580000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"87","1.580000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"88","1.580000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"89","1.581000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"90","1.581000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"91","1.583000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"92","1.583000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"93","1.583000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"94","1.586000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"95","1.666000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"96","1.667000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"97","1.667000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"98","1.667000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"99","1.669000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"100","1.670000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"101","1.671000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"102","1.671000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"103","1.671000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"104","1.672000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"105","1.672000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"106","1.673000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"107","1.673000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"108","1.674000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"109","1.716000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"110","1.716000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"111","1.717000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"112","1.719000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"113","1.719000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"114","1.720000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"115","1.720000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"116","1.721000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"117","1.721000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"118","1.722000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"119","1.723000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"120","1.724000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"121","1.788000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"122","1.789000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"123","1.789000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"124","1.789000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"125","1.790000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"126","1.790000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"127","1.790000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"128","1.791000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"129","1.792000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
