"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"2","0.036000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"3","0.037000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"4","0.075000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"5","0.076000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"6","0.076000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"7","0.076000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"8","0.077000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"9","0.077000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"10","0.079000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"11","0.079000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"12","0.131000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"13","0.133000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"14","0.134000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"15","0.135000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"16","0.135000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"17","0.137000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"18","0.138000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"19","0.138000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"20","0.138000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"21","0.139000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"22","0.139000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"23","0.139000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"24","0.141000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"25","0.204000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"26","0.205000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"27","0.205000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"28","0.205000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"29","0.206000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"30","0.207000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"31","0.209000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"32","0.210000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"33","0.210000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"34","0.210000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"35","0.211000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"36","0.211000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"37","0.211000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"38","0.214000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"39","0.214000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"40","0.215000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"41","0.215000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"42","0.216000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"43","0.216000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"44","0.265000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"45","0.266000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"46","0.267000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"47","0.267000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"48","0.267000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"49","0.270000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"50","0.270000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"51","0.272000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"52","0.272000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"53","0.272000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"54","0.272000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"55","0.273000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"56","0.274000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"57","0.274000","fe80::212:7410:10:1010","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"58","0.274000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"59","0.276000","fe80::212:7419:19:1919","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"60","0.277000","fe80::212:7414:14:1414","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
